,dates,prediction,+,-
0,2020-03-14,0.0,0.0,0.0
1,2020-03-15,5.848111639908788e-06,7.250469090924643e-07,-7.263658271210945e-07
2,2020-03-16,0.00010993924030837298,1.3536739851512981e-05,-1.3581980503659904e-05
3,2020-03-17,0.000786505906828082,9.634526713926596e-05,-9.67764812288117e-05
4,2020-03-18,0.0037417853485926487,0.0004563182376029866,-0.0004588090186924722
5,2020-03-19,0.013315352210984167,0.0016162028079185937,-0.0016266988990329741
6,2020-03-20,0.03789947496570837,0.004576870236656448,-0.004611703708217028
7,2020-03-21,0.09114653588551117,0.010948736344069773,-0.011044839350825647
8,2020-03-22,0.1929946737177797,0.023057378878871604,-0.023287164045349168
9,2020-03-23,0.37054562467996494,0.04402876350881707,-0.04451997566543442
10,2020-03-24,0.6588043770409463,0.0778562056351908,-0.07881684818896528
11,2020-03-25,1.1012797472654314,0.1294497470150595,-0.13119801825428645
12,2020-03-26,1.7504424247129515,0.20466824060146127,-0.20766727120796746
13,2020-03-27,2.6680384385169997,0.3103345119700909,-0.31523156824808884
14,2020-03-28,3.925257368045243,0.45423411165263206,-0.4619038149817136
15,2020-03-29,5.602759053680703,0.6450985775497688,-0.6566896200562953
16,2020-03-30,7.790562436919167,0.8925741204808038,-0.9095588573553623
17,2020-03-31,10.587804371312941,1.2071770282499212,-1.231403297180572
18,2020-04-01,14.10237683132879,1.600237101400884,-1.633981569503625
19,2020-04-02,18.450452741413947,2.0838305887228863,-2.129852925127121
20,2020-04-03,23.75591094965065,2.6707039949927633,-2.73230112302943
21,2020-04-04,30.149673035509156,3.3741905196865396,-3.4552502586091265
22,2020-04-05,37.76896332297519,4.208120311733403,-4.313173727126809
23,2020-04-06,46.75650446131728,5.186726194322297,-5.320997960404881
24,2020-04-07,57.259661114270855,6.324546203646072,-6.494002405848455
25,2020-04-08,69.42954344906394,7.636324229598586,-7.847716997568334
26,2020-04-09,83.42008215767885,9.136910061635348,-9.397818535992712
27,2020-04-10,99.3870860294844,10.841159879820083,-11.160027069317266
28,2020-04-11,117.48729252678811,12.763838366182625,-13.150003433370998
29,2020-04-12,137.87742135864747,14.919523304829426,-15.38324900959337
30,2020-04-13,160.71323909120903,17.322513249833037,-17.875008316903717
31,2020-04-14,186.14864483075786,19.986739787177072,-20.640175773096956
32,2020-04-15,214.33478303265122,22.92568396846812,-23.693206710141453
33,2020-04-16,245.41919003352848,26.152298063915396,-27.04803368387107
34,2020-04-17,279.544980435405,29.678933020098782,-30.717988197965326
35,2020-04-18,316.85007865774855,33.517271885918774,-34.71572834764942
36,2020-04-19,357.46649929312986,37.67826934708421,-39.05317328168883
37,2020-04-20,401.51967998228685,42.17209773752768,-43.741443391326925
38,2020-04-21,449.12786912722174,47.00809928712994,-48.790808002233405
39,2020-04-22,500.40157066410717,52.19474546564339,-54.2106387925798
40,2020-04-23,555.4430510676208,57.73960246836293,-60.009369914204456
41,2020-04-24,614.3458969003455,63.649302659094474,-66.19446656535195
42,2020-04-25,677.194644635592,69.92952226981993,-72.77239459401676
43,2020-04-26,744.0644564908173,76.58496683919623,-79.74861349160949
