"","country_area","year","agegroup","pop"
"771","Germany","2011","10-19",32059086.5
"772","Germany","2011","20-29",39311470.5
"773","Germany","2011","30-39",38567765.5
"774","Germany","2011","40-49",54040080
"775","Germany","2011","50-59",46780476.5
"776","Germany","2011","60-69",35768246
"777","Germany","2011","70-79",32716505
"778","Germany","2011","80-89",14763572
"779","Germany","2011","90-100",1916989
"780","Germany","2012","0-9",13842556.5
"781","Germany","2012","10-19",15930583
"782","Germany","2012","20-29",19897264
"783","Germany","2012","30-39",19483297.5
"784","Germany","2012","40-49",26833353.5
"785","Germany","2012","50-59",24088948
"786","Germany","2012","60-69",17933554
"787","Germany","2012","70-79",16932214
"788","Germany","2012","80-89",7488831
"789","Germany","2012","90-100",1181990
"790","Germany","2013","0-9",13751546
"791","Germany","2013","10-19",15705373
"792","Germany","2013","20-29",19648861
"793","Germany","2013","30-39",19426636
"794","Germany","2013","40-49",25787037
"795","Germany","2013","50-59",24501377
"796","Germany","2013","60-69",17996090
"797","Germany","2013","70-79",17045396
"798","Germany","2013","80-89",7456549
"799","Germany","2013","90-100",1242671
"800","Germany","2014","0-9",13788642
"801","Germany","2014","10-19",15566023
"802","Germany","2014","20-29",19438473
"803","Germany","2014","30-39",19467939
"804","Germany","2014","40-49",24529230
"805","Germany","2014","50-59",24962008
"806","Germany","2014","60-69",18078265
"807","Germany","2014","70-79",17104489
"808","Germany","2014","80-89",7489833
"809","Germany","2014","90-100",1292298
"810","Germany","2015","0-9",14059569
"811","Germany","2015","10-19",15606253
"812","Germany","2015","20-29",19617516
"813","Germany","2015","30-39",19808853
"814","Germany","2015","40-49",23616956
"815","Germany","2015","50-59",25561384
"816","Germany","2015","60-69",18509779
"817","Germany","2015","70-79",16922829
"818","Germany","2015","80-89",7787883
"819","Germany","2015","90-100",1358717
"820","Germany","2016","0-9",14463376.5
"821","Germany","2016","10-19",15753977
"822","Germany","2016","20-29",19933732
"823","Germany","2016","30-39",20318962.5
"824","Germany","2016","40-49",22811637
"825","Germany","2016","50-59",26093824
"826","Germany","2016","60-69",19223200.5
"827","Germany","2016","70-79",16360883.5
"828","Germany","2016","80-89",8112824.5
"829","Germany","2016","90-100",1419582
"830","Germany","2017","0-9",14800056.5
"831","Germany","2017","10-19",15658262
"832","Germany","2017","20-29",19861477.5
"833","Germany","2017","30-39",20645400.5
"834","Germany","2017","40-49",21988669
"835","Germany","2017","50-59",26495930
"836","Germany","2017","60-69",19810245
"837","Germany","2017","70-79",15930407
"838","Germany","2017","80-89",8478795
"839","Germany","2017","90-100",1483688
"840","Germany","2018","0-9",7488994
"841","Germany","2018","10-19",7763332
"842","Germany","2018","20-29",9900594
"843","Germany","2018","30-39",10453462
"844","Germany","2018","40-49",10731644
"845","Germany","2018","50-59",13369561
"846","Germany","2018","60-69",10086747
"847","Germany","2018","70-79",7847332
"848","Germany","2018","80-89",4380651
"849","Germany","2018","90-100",759709
"850","Ghana","2000","0-9",11089254
"851","Ghana","2000","10-19",8291938
"852","Ghana","2000","20-29",6176238
"853","Ghana","2000","30-39",4473148
"854","Ghana","2000","40-49",3214576
"855","Ghana","2000","50-59",1848422
"856","Ghana","2000","60-69",1250120
"857","Ghana","2000","70-79",739976
"858","Ghana","2000","80-89",496810
"859","Ghana","2000","90-100",243676
"860","Ghana","2010","0-9",13068716
"861","Ghana","2010","10-19",11052058
"862","Ghana","2010","20-29",8747204
"863","Ghana","2010","30-39",6200424
"864","Ghana","2010","40-49",4248896
"865","Ghana","2010","50-59",2713586
"866","Ghana","2010","60-69",1539440
"867","Ghana","2010","70-79",1114566
"868","Ghana","2010","80-89",484308
"869","Ghana","2010","90-100",138628
"870","Italy","1994","0-9",5579702
"871","Italy","1994","10-19",6887237
"872","Italy","1994","20-29",9170232
"873","Italy","1994","30-39",8364274
"874","Italy","1994","40-49",7583433
"875","Italy","1994","50-59",7005292
"876","Italy","1994","60-69",6346473
"877","Italy","1994","70-79",4019162
"878","Italy","1994","80-89",2009682
"879","Italy","1995","0-9",5543432
"880","Italy","1995","10-19",6630565
"881","Italy","1995","20-29",9077216
"882","Italy","1995","30-39",8569280
"883","Italy","1995","40-49",7700186
"884","Italy","1995","50-59",6954232
"885","Italy","1995","60-69",6370526
"886","Italy","1995","70-79",4126505
"887","Italy","1995","80-89",2073765
"888","Italy","1998","0-9",5514085
"889","Italy","1998","10-19",6130937
"890","Italy","1998","20-29",8752231
"891","Italy","1998","30-39",9017204
"892","Italy","1998","40-49",7703460
"893","Italy","1998","50-59",7145607
"894","Italy","1998","60-69",6390060
"895","Italy","1998","70-79",4599477
"896","Italy","1998","80-89",2008904
"897","Italy","2000","0-9",5478451
"898","Italy","2000","10-19",5942847
"899","Italy","2000","20-29",8160273
"900","Italy","2000","30-39",9290875
"901","Italy","2000","40-49",7774549
"902","Italy","2000","50-59",7247579
"903","Italy","2000","60-69",6546200
"904","Italy","2000","70-79",4979256
"905","Italy","2000","80-89",1905643
"906","Italy","2000","90-100",346391
"907","Italy","2001","0-9",10635423
"908","Italy","2001","10-19",11566628
"909","Italy","2001","20-29",15545486
"910","Italy","2001","30-39",18306327
"911","Italy","2001","40-49",15518213
"912","Italy","2001","50-59",14328584
"913","Italy","2001","60-69",13084762
"914","Italy","2001","70-79",10130940
"915","Italy","2001","80-89",4072268
"916","Italy","2001","90-100",756057
"917","Italy","2002","0-9",5285687
"918","Italy","2002","10-19",5761624
"919","Italy","2002","20-29",7628101
"920","Italy","2002","30-39",9172116
"921","Italy","2002","40-49",7838540
"922","Italy","2002","50-59",7185051
"923","Italy","2002","60-69",6531533
"924","Italy","2002","70-79",5086718
"925","Italy","2002","80-89",2096210
"926","Italy","2002","90-100",395774
"927","Italy","2003","0-9",5285980
"928","Italy","2003","10-19",5711024
"929","Italy","2003","20-29",7393678
"930","Italy","2003","30-39",9216101
"931","Italy","2003","40-49",7998074
"932","Italy","2003","50-59",7241798
"933","Italy","2003","60-69",6538104
"934","Italy","2003","70-79",5128758
"935","Italy","2003","80-89",2187490
"936","Italy","2003","90-100",422234
"937","Italy","2004","0-9",5314730
"938","Italy","2004","10-19",5672488
"939","Italy","2004","20-29",7246446
"940","Italy","2004","30-39",9299488
"941","Italy","2004","40-49",8231344
"942","Italy","2004","50-59",7318316
"943","Italy","2004","60-69",6531070
"944","Italy","2004","70-79",5167518
"945","Italy","2004","80-89",2272096
"946","Italy","2004","90-100",434790
"947","Italy","2005","0-9",5372064
"948","Italy","2005","10-19",5646398
"949","Italy","2005","20-29",7047623
"950","Italy","2005","30-39",9314053
"951","Italy","2005","40-49",8483252
"952","Italy","2005","50-59",7439573
"953","Italy","2005","60-69",6507883
"954","Italy","2005","70-79",5219194
"955","Italy","2005","80-89",2382153
"956","Italy","2005","90-100",453763
"957","Italy","2006","0-9",5420604
"958","Italy","2006","10-19",5633273
"959","Italy","2006","20-29",6808367
"960","Italy","2006","30-39",9251970
"961","Italy","2006","40-49",8690116
"962","Italy","2006","50-59",7578639
"963","Italy","2006","60-69",6452642
"964","Italy","2006","70-79",5270076
"965","Italy","2006","80-89",2486470
"966","Italy","2006","90-100",462587
"967","Italy","2007","0-9",5461080
"968","Italy","2007","10-19",5635485
"969","Italy","2007","20-29",6584239
"970","Italy","2007","30-39",9129070
"971","Italy","2007","40-49",8882871
"972","Italy","2007","50-59",7557856
"973","Italy","2007","60-69",6590080
"974","Italy","2007","70-79",5300742
"975","Italy","2007","80-89",2615625
"976","Italy","2007","90-100",456310
"977","Italy","2008","0-9",5517434
"978","Italy","2008","10-19",5661706
"979","Italy","2008","20-29",6497442
"980","Italy","2008","30-39",9068233
"981","Italy","2008","40-49",9091036
"982","Italy","2008","50-59",7571478
"983","Italy","2008","60-69",6697112
"984","Italy","2008","70-79",5345346
"985","Italy","2008","80-89",2760837
"986","Italy","2008","90-100",431523
"987","Italy","2009","0-9",5566022
"988","Italy","2009","10-19",5668225
"989","Italy","2009","20-29",6439635
"990","Italy","2009","30-39",8948964
"991","Italy","2009","40-49",9275819
"992","Italy","2009","50-59",7579731
"993","Italy","2009","60-69",6779091
"994","Italy","2009","70-79",5434327
"995","Italy","2009","80-89",2891257
"996","Italy","2009","90-100",417515
"997","Italy","2010","0-9",11157964.5
"998","Italy","2010","10-19",11345269
"999","Italy","2010","20-29",12737831
"1000","Italy","2010","30-39",17382041
"1001","Italy","2010","40-49",18877484
"1002","Italy","2010","50-59",15359720
"1003","Italy","2010","60-69",13623612
"1004","Italy","2010","70-79",11094506.5
"1005","Italy","2010","80-89",6018400
"1006","Italy","2010","90-100",845595
"1007","Italy","2011","0-9",16650233
"1008","Italy","2011","10-19",16990758
"1009","Italy","2011","20-29",19039891
"1010","Italy","2011","30-39",25328359.5
"1011","Italy","2011","40-49",28606518.5
"1012","Italy","2011","50-59",23451710.5
"1013","Italy","2011","60-69",20512989
"1014","Italy","2011","70-79",16814629
"1015","Italy","2011","80-89",9279263
"1016","Italy","2011","90-100",1460621.5
"1017","Italy","2012","0-9",11080854
"1018","Italy","2012","10-19",11268704
"1019","Italy","2012","20-29",12722232
"1020","Italy","2012","30-39",16610018
"1021","Italy","2012","40-49",19133508.5
"1022","Italy","2012","50-59",15869842.5
"1023","Italy","2012","60-69",13705320.5
"1024","Italy","2012","70-79",11180568.5
"1025","Italy","2012","80-89",6261817.5
"1026","Italy","2012","90-100",1076581
"1027","Italy","2013","0-9",11119105
"1028","Italy","2013","10-19",11295423.5
"1029","Italy","2013","20-29",12716613
"1030","Italy","2013","30-39",16315866.5
"1031","Italy","2013","40-49",19377938.5
"1032","Italy","2013","50-59",16340698.5
"1033","Italy","2013","60-69",13910337
"1034","Italy","2013","70-79",11269134
"1035","Italy","2013","80-89",6383345.5
"1036","Italy","2013","90-100",1164436
"1037","Italy","2014","0-9",11112967
"1038","Italy","2014","10-19",11444753
"1039","Italy","2014","20-29",12782875
"1040","Italy","2014","30-39",15980767
"1041","Italy","2014","40-49",19661384
"1042","Italy","2014","50-59",17100224
"1043","Italy","2014","60-69",14270456
"1044","Italy","2014","70-79",11369979
"1045","Italy","2014","80-89",6560878
"1046","Italy","2014","90-100",1257018
"1047","Italy","2016","0-9",10804402
"1048","Italy","2016","10-19",11476402.5
"1049","Italy","2016","20-29",12573492.5
"1050","Italy","2016","30-39",15124269
"1051","Italy","2016","40-49",19361194
"1052","Italy","2016","50-59",17812623
"1053","Italy","2016","60-69",14658555.5
"1054","Italy","2016","70-79",11342198
"1055","Italy","2016","80-89",6744601
"1056","Italy","2016","90-100",1358349
"1057","Italy","2017","0-9",10596381.5
"1058","Italy","2017","10-19",11499828
"1059","Italy","2017","20-29",12502194.5
"1060","Italy","2017","30-39",14694535
"1061","Italy","2017","40-49",19092230
"1062","Italy","2017","50-59",18179867
"1063","Italy","2017","60-69",14652937.5
"1064","Italy","2017","70-79",11605699.5
"1065","Italy","2017","80-89",6844789.5
"1066","Italy","2017","90-100",1429266
"1067","Italy","2018","0-9",5215363
"1068","Italy","2018","10-19",5762892
"1069","Italy","2018","20-29",6235444
"1070","Italy","2018","30-39",7208084
"1071","Italy","2018","40-49",9427258
"1072","Italy","2018","50-59",9212746
"1073","Italy","2018","60-69",7334964
"1074","Italy","2018","70-79",5880222
"1075","Italy","2018","80-89",3461109
"1076","Italy","2018","90-100",735245
"1077","Kenya","1999","0-9",8498048
"1078","Kenya","1999","10-19",7441813
"1079","Kenya","1999","20-29",5092421
"1080","Kenya","1999","30-39",3104934
"1081","Kenya","1999","40-49",1872319
"1082","Kenya","1999","50-59",1144822
"1083","Kenya","1999","60-69",710561
"1084","Kenya","1999","70-79",414911
"1085","Kenya","2009","0-9",23074044
"1086","Kenya","2009","10-19",18408796
"1087","Kenya","2009","20-29",13952658
"1088","Kenya","2009","30-39",9056276
"1089","Kenya","2009","40-49",5497828
"1090","Kenya","2009","50-59",3336318
"1091","Kenya","2009","60-69",1969082
"1092","Kenya","2009","70-79",1115618
"1093","Mexico","1995","0-9",21591663
"1094","Mexico","1995","10-19",20812119
"1095","Mexico","1995","20-29",17010514
"1096","Mexico","1995","30-39",12384783
"1097","Mexico","1995","40-49",8046769
"1098","Mexico","1995","50-59",5127946
"1099","Mexico","1995","60-69",3367762
"1100","Mexico","1995","70-79",1745999
"1101","Mexico","1995","80-89",686922
"1102","Mexico","1995","90-100",154914
"1103","Mexico","2000","0-9",43700960
"1104","Mexico","2000","10-19",41457256
"1105","Mexico","2000","20-29",34457754
"1106","Mexico","2000","30-39",26978122
"1107","Mexico","2000","40-49",18533848
"1108","Mexico","2000","50-59",11834368
"1109","Mexico","2000","60-69",7717862
"1110","Mexico","2000","70-79",4221888
"1111","Mexico","2000","80-89",1547854
"1112","Mexico","2000","90-100",369796
"1113","Mexico","2005","0-9",41395962
"1114","Mexico","2005","10-19",42122288
"1115","Mexico","2005","20-29",34135974
"1116","Mexico","2005","30-39",30092954
"1117","Mexico","2005","40-49",22065046
"1118","Mexico","2005","50-59",14415442
"1119","Mexico","2005","60-69",9161090
"1120","Mexico","2005","70-79",5090012
"1121","Mexico","2005","80-89",2004330
"1122","Mexico","2005","90-100",386940
"1123","Mexico","2010","0-9",43151718
"1124","Mexico","2010","10-19",43932098
"1125","Mexico","2010","20-29",37360896
"1126","Mexico","2010","30-39",33527570
"1127","Mexico","2010","40-49",25875912
"1128","Mexico","2010","50-59",17919312
"1129","Mexico","2010","60-69",10867462
"1130","Mexico","2010","70-79",6238834
"1131","Mexico","2010","80-89",2506200
"1132","Mexico","2010","90-100",461312
"1133","Mexico","2014","0-9",22274569.2641976
"1134","Mexico","2014","10-19",22422563.5140712
"1135","Mexico","2014","20-29",20258355.8029345
"1136","Mexico","2014","30-39",17688703.1673373
"1137","Mexico","2014","40-49",14891173.8741834
"1138","Mexico","2014","50-59",10508405.8008801
"1139","Mexico","2014","60-69",6435080.65205903
"1140","Mexico","2014","70-79",3473955.50060494
"1141","Mexico","2014","80-89",1445501.94818407
"1142","Mexico","2014","90-100",296169.522144428
"1143","Mexico","2015","0-9",22225070.1828262
"1144","Mexico","2015","10-19",22377196.0165407
"1145","Mexico","2015","20-29",20457144.9570955
"1146","Mexico","2015","30-39",17806277.0211881
"1147","Mexico","2015","40-49",15204530.3738546
"1148","Mexico","2015","50-59",10849801.0089502
"1149","Mexico","2015","60-69",6690051.79349269
"1150","Mexico","2015","70-79",3577943.06030661
"1151","Mexico","2015","80-89",1489252.87796935
"1152","Mexico","2015","90-100",309368.35638518
"1153","Mexico","2016","0-9",22179353.9756022
"1154","Mexico","2016","10-19",22323597.3389145
"1155","Mexico","2016","20-29",20640152.3231109
"1156","Mexico","2016","30-39",17922678.9285251
"1157","Mexico","2016","40-49",15490908.3529387
"1158","Mexico","2016","50-59",11196061.4931223
"1159","Mexico","2016","60-69",6956832.22288555
"1160","Mexico","2016","70-79",3688827.30071989
"1161","Mexico","2016","80-89",1532420.73981946
"1162","Mexico","2016","90-100",322800.054553743
"1163","Mexico","2017","0-9",22131747
"1164","Mexico","2017","10-19",22268458
"1165","Mexico","2017","20-29",20812029
"1166","Mexico","2017","30-39",18032589
"1167","Mexico","2017","40-49",15752953
"1168","Mexico","2017","50-59",11547081
"1169","Mexico","2017","60-69",7233692
"1170","Mexico","2017","70-79",3806778
"1171","Mexico","2017","80-89",1575782
"1172","Mexico","2017","90-100",336462
"1173","Mexico","2018","0-9",22051101
"1174","Mexico","2018","10-19",22216517
"1175","Mexico","2018","20-29",21372750
"1176","Mexico","2018","30-39",18343746
"1177","Mexico","2018","40-49",15841704
"1178","Mexico","2018","50-59",12072552
"1179","Mexico","2018","60-69",7566540
"1180","Mexico","2018","70-79",3945425
"1181","Mexico","2018","80-89",1591170
"1182","Mexico","2018","90-100",313965
"1183","Mexico","2019","0-9",21955021
"1184","Mexico","2019","10-19",22204046
"1185","Mexico","2019","20-29",21439875
"1186","Mexico","2019","30-39",18616022
"1187","Mexico","2019","40-49",16029594
"1188","Mexico","2019","50-59",12397632
"1189","Mexico","2019","60-69",7878236
"1190","Mexico","2019","70-79",4082445
"1191","Mexico","2019","80-89",1637284
"1192","Mexico","2019","90-100",324841
"1193","Peru","2005","0-9",5234609
"1194","Peru","2005","10-19",5536469
"1195","Peru","2005","20-29",4680637
"1196","Peru","2005","30-39",3733232
"1197","Peru","2005","40-49",2776320
"1198","Peru","2005","50-59",1890742
"1199","Peru","2005","60-69",1215600
"1200","Peru","2005","70-79",739255
"1201","Peru","2007","0-9",10817096
"1202","Peru","2007","10-19",11359540
"1203","Peru","2007","20-29",9646838
"1204","Peru","2007","30-39",7893086
"1205","Peru","2007","40-49",6026888
"1206","Peru","2007","50-59",4089580
"1207","Peru","2007","60-69",2620516
"1208","Peru","2007","70-79",1593994
"1209","Peru","2007","80-89",642268
"1210","Peru","2007","90-100",108832
"1211","Peru","2017","0-9",10281248
"1212","Peru","2017","10-19",10071810
"1213","Peru","2017","20-29",9790112
"1214","Peru","2017","30-39",8759554
"1215","Peru","2017","40-49",7320756
"1216","Peru","2017","50-59",5545136
"1217","Peru","2017","60-69",3692814
"1218","Peru","2017","70-79",2156132
"1219","Peru","2017","80-89",969184
"1220","Peru","2017","90-100",170732
"1221","South Africa","1996","0-9",18224684
"1222","South Africa","1996","10-19",17669630
"1223","South Africa","1996","20-29",14876164
"1224","South Africa","1996","30-39",11455916
"1225","South Africa","1996","40-49",7632304
"1226","South Africa","1996","50-59",4677662
"1227","South Africa","1996","60-69",3298846
"1228","South Africa","1996","70-79",1719178
"1229","South Africa","1996","80-89",357806
"1230","South Africa","2001","0-9",10211776
"1231","South Africa","2001","10-19",10043640
"1232","South Africa","2001","20-29",8229463
"1233","South Africa","2001","30-39",6412671
"1234","South Africa","2001","40-49",4706845
"1235","South Africa","2001","50-59",2843287
"1236","South Africa","2001","60-69",1853220
"1237","South Africa","2001","70-79",999007
"1238","South Africa","2001","80-89",365169
"1239","South Africa","2001","90-100",57154
"1240","South Africa","2011","0-9",10505204
"1241","South Africa","2011","10-19",9598366
"1242","South Africa","2011","20-29",10433857
"1243","South Africa","2011","30-39",7496777
"1244","South Africa","2011","40-49",5568900
"1245","South Africa","2011","50-59",4015696
"1246","South Africa","2011","60-69",2343573
"1247","South Africa","2011","70-79",1229596
"1248","South Africa","2011","80-89",469648
"1249","South Africa","2011","90-100",93334
"1250","Spain","1994","0-9",4065195
"1251","Spain","1994","10-19",5875107
"1252","Spain","1994","20-29",6520960
"1253","Spain","1994","30-39",5768144
"1254","Spain","1994","40-49",4831976
"1255","Spain","1994","50-59",4079195
"1256","Spain","1994","60-69",4089489
"1257","Spain","1994","70-79",2640439
"1258","Spain","1994","80-89",1134441
"1259","Spain","1994","90-100",143840
"1260","Spain","1995","0-9",3989271
"1261","Spain","1995","10-19",5667115
"1262","Spain","1995","20-29",6550641
"1263","Spain","1995","30-39",5886064
"1264","Spain","1995","40-49",4884997
"1265","Spain","1995","50-59",4081897
"1266","Spain","1995","60-69",4115926
"1267","Spain","1995","70-79",2723083
"1268","Spain","1995","80-89",1159174
"1269","Spain","1995","90-100",150849
"1270","Spain","1996","0-9",3939443
"1271","Spain","1996","10-19",5444275
"1272","Spain","1996","20-29",6566783
"1273","Spain","1996","30-39",5996758
"1274","Spain","1996","40-49",4939134
"1275","Spain","1996","50-59",4114706
"1276","Spain","1996","60-69",4121208
"1277","Spain","1996","70-79",2807184
"1278","Spain","1996","80-89",1182036
"1279","Spain","1996","90-100",158084
"1280","Spain","1997","0-9",3904138
"1281","Spain","1997","10-19",5214826
"1282","Spain","1997","20-29",6570611
"1283","Spain","1997","30-39",6092887
"1284","Spain","1997","40-49",5001433
"1285","Spain","1997","50-59",4179854
"1286","Spain","1997","60-69",4097187
"1287","Spain","1997","70-79",2892859
"1288","Spain","1997","80-89",1203090
"1289","Spain","1997","90-100",165729
"1290","Spain","1998","0-9",3882193
"1291","Spain","1998","10-19",4989642
"1292","Spain","1998","20-29",6556046
"1293","Spain","1998","30-39",6173619
"1294","Spain","1998","40-49",5079886
"1295","Spain","1998","50-59",4257215
"1296","Spain","1998","60-69",4055606
"1297","Spain","1998","70-79",2977774
"1298","Spain","1998","80-89",1224659
"1299","Spain","1998","90-100",173778
"1300","Spain","2000","0-9",3807222
"1301","Spain","2000","10-19",4646667
"1302","Spain","2000","20-29",6585821
"1303","Spain","2000","30-39",6445906
"1304","Spain","2000","40-49",5330235
"1305","Spain","2000","50-59",4470184
"1306","Spain","2000","60-69",3969527
"1307","Spain","2000","70-79",3171284
"1308","Spain","2000","80-89",1309337
"1309","Spain","2000","90-100",190540
"1310","Spain","2001","0-9",7658354
"1311","Spain","2001","10-19",9136112
"1312","Spain","2001","20-29",13369862
"1313","Spain","2001","30-39",13343130
"1314","Spain","2001","40-49",11275834
"1315","Spain","2001","50-59",9293152
"1316","Spain","2001","60-69",7882044
"1317","Spain","2001","70-79",6575610
"1318","Spain","2001","80-89",2708458
"1319","Spain","2001","90-100",443750
"1320","Spain","2002","0-9",7735960
"1321","Spain","2002","10-19",9105410
"1322","Spain","2002","20-29",13479788
"1323","Spain","2002","30-39",13554968
"1324","Spain","2002","40-49",11466306
"1325","Spain","2002","50-59",9427375
"1326","Spain","2002","60-69",7848101
"1327","Spain","2002","70-79",6627654
"1328","Spain","2002","80-89",2755415
"1329","Spain","2002","90-100",449013
"1330","Spain","2003","0-9",7930782
"1331","Spain","2003","10-19",9018925
"1332","Spain","2003","20-29",13574990
"1333","Spain","2003","30-39",13987316
"1334","Spain","2003","40-49",11858775
"1335","Spain","2003","50-59",9694636
"1336","Spain","2003","60-69",7802006
"1337","Spain","2003","70-79",6781167
"1338","Spain","2003","80-89",2895575
"1339","Spain","2003","90-100",470229
"1340","Spain","2004","0-9",8144860
"1341","Spain","2004","10-19",8929294
"1342","Spain","2004","20-29",13520947
"1343","Spain","2004","30-39",14353537
"1344","Spain","2004","40-49",12292616
"1345","Spain","2004","50-59",9871137
"1346","Spain","2004","60-69",7856317
"1347","Spain","2004","70-79",6921021
"1348","Spain","2004","80-89",3022357
"1349","Spain","2004","90-100",484634
"1350","Spain","2005","0-9",8384685
"1351","Spain","2005","10-19",8841072
"1352","Spain","2005","20-29",13469628
"1353","Spain","2005","30-39",14769071
"1354","Spain","2005","40-49",12793182
"1355","Spain","2005","50-59",10050116
"1356","Spain","2005","60-69",7956529
"1357","Spain","2005","70-79",7025915
"1358","Spain","2005","80-89",3157078
"1359","Spain","2005","90-100",501418
"1360","Spain","2006","0-9",8654843
"1361","Spain","2006","10-19",8783183
"1362","Spain","2006","20-29",13265720
"1363","Spain","2006","30-39",15159795
"1364","Spain","2006","40-49",13220253
"1365","Spain","2006","50-59",10246586
"1366","Spain","2006","60-69",8076243
"1367","Spain","2006","70-79",7127675
"1368","Spain","2006","80-89",3304859
"1369","Spain","2006","90-100",520259
"1370","Spain","2007","0-9",8950591
"1371","Spain","2007","10-19",8787801
"1372","Spain","2007","20-29",13101939
"1373","Spain","2007","30-39",15596908
"1374","Spain","2007","40-49",13651786
"1375","Spain","2007","50-59",10526520
"1376","Spain","2007","60-69",8178760
"1377","Spain","2007","70-79",7209731
"1378","Spain","2007","80-89",3463865
"1379","Spain","2007","90-100",540853
"1380","Spain","2008","0-9",9248605
"1381","Spain","2008","10-19",8825511
"1382","Spain","2008","20-29",12922631
"1383","Spain","2008","30-39",15988494
"1384","Spain","2008","40-49",14047692
"1385","Spain","2008","50-59",10820518
"1386","Spain","2008","60-69",8409069
"1387","Spain","2008","70-79",7202552
"1388","Spain","2008","80-89",3611864
"1389","Spain","2008","90-100",562080
"1390","Spain","2009","0-9",9495909
"1391","Spain","2009","10-19",8811405
"1392","Spain","2009","20-29",12507778
"1393","Spain","2009","30-39",16182874
"1394","Spain","2009","40-49",14334679
"1395","Spain","2009","50-59",11052745
"1396","Spain","2009","60-69",8762326
"1397","Spain","2009","70-79",7085062
"1398","Spain","2009","80-89",3773095
"1399","Spain","2009","90-100",586623
"1400","Spain","2010","0-9",9619120
"1401","Spain","2010","10-19",8789150
"1402","Spain","2010","20-29",11978499
"1403","Spain","2010","30-39",16176957
"1404","Spain","2010","40-49",14551955
"1405","Spain","2010","50-59",11342460
"1406","Spain","2010","60-69",9051505
"1407","Spain","2010","70-79",6968444
"1408","Spain","2010","80-89",3934899
"1409","Spain","2010","90-100",619590
"1410","Spain","2011","0-9",14571035
"1411","Spain","2011","10-19",13196092
"1412","Spain","2011","20-29",17076292
"1413","Spain","2011","30-39",24054282
"1414","Spain","2011","40-49",22202200
"1415","Spain","2011","50-59",17611330
"1416","Spain","2011","60-69",13785178
"1417","Spain","2011","70-79",10538983
"1418","Spain","2011","80-89",6151182
"1419","Spain","2011","90-100",1005040
"1420","Spain","2012","0-9",9741584
"1421","Spain","2012","10-19",8799655
"1422","Spain","2012","20-29",11026889
"1423","Spain","2012","30-39",15827314
"1424","Spain","2012","40-49",14949640
"1425","Spain","2012","50-59",11979680
"1426","Spain","2012","60-69",9374435
"1427","Spain","2012","70-79",6922677
"1428","Spain","2012","80-89",4219294
"1429","Spain","2012","90-100",721181
"1430","Spain","2013","0-9",9687733
"1431","Spain","2013","10-19",8790473
"1432","Spain","2013","20-29",10569070
"1433","Spain","2013","30-39",15385485
"1434","Spain","2013","40-49",15057930
"1435","Spain","2013","50-59",12224337
"1436","Spain","2013","60-69",9564676
"1437","Spain","2013","70-79",6888028
"1438","Spain","2013","80-89",4353037
"1439","Spain","2013","90-100",779835
"1440","Spain","2014","0-9",9569203
"1441","Spain","2014","10-19",8843270
"1442","Spain","2014","20-29",10165707.5
"1443","Spain","2014","30-39",14843292
"1444","Spain","2014","40-49",15113365.5
"1445","Spain","2014","50-59",12510447
"1446","Spain","2014","60-69",9661664
"1447","Spain","2014","70-79",6944343
"1448","Spain","2014","80-89",4483155
"1449","Spain","2014","90-100",830487
"1450","Spain","2015","0-9",9451587.5
"1451","Spain","2015","10-19",8957488.5
"1452","Spain","2015","20-29",9861858.5
"1453","Spain","2015","30-39",14304191
"1454","Spain","2015","40-49",15189869
"1455","Spain","2015","50-59",12848393.5
"1456","Spain","2015","60-69",9756244.5
"1457","Spain","2015","70-79",7033070
"1458","Spain","2015","80-89",4581532
"1459","Spain","2015","90-100",881577
"1460","Spain","2016","0-9",4679965
"1461","Spain","2016","10-19",4531065
"1462","Spain","2016","20-29",4844797
"1463","Spain","2016","30-39",6949423
"1464","Spain","2016","40-49",7637710
"1465","Spain","2016","50-59",6534671
"1466","Spain","2016","60-69",4916439
"1467","Spain","2016","70-79",3559855
"1468","Spain","2016","80-89",2320103
"1469","Spain","2016","90-100",455337
"1470","Spain","2017","0-9",4557742.440454
"1471","Spain","2017","10-19",4661475.968809
"1472","Spain","2017","20-29",4765510.770898
"1473","Spain","2017","30-39",6549029.860647
"1474","Spain","2017","40-49",7719260.664551
"1475","Spain","2017","50-59",6736304.163766
"1476","Spain","2017","60-69",5063258.649489
"1477","Spain","2017","70-79",3625995.267294
"1478","Spain","2017","80-89",2366918.536819
"1479","Spain","2017","90-100",490667.786123
"1480","Spain","2018","0-9",4530199
"1481","Spain","2018","10-19",4712211
"1482","Spain","2018","20-29",4773824
"1483","Spain","2018","30-39",6431119
"1484","Spain","2018","40-49",7740481
"1485","Spain","2018","50-59",6797280
"1486","Spain","2018","60-69",5119970
"1487","Spain","2018","70-79",3665248
"1488","Spain","2018","80-89",2375961
"1489","Spain","2018","90-100",500926
"1490","United States of America","1996","0-9",38726000
"1491","United States of America","1996","10-19",37643000
"1492","United States of America","1996","20-29",36566000
"1493","United States of America","1996","30-39",43939000
"1494","United States of America","1996","40-49",39253000
"1495","United States of America","1996","50-59",25297000
"1496","United States of America","1996","60-69",19891000
"1497","United States of America","1996","70-79",15650000
"1498","United States of America","1996","80-89",6951332
"1499","United States of America","1996","90-100",1310446
