"","country_area","year","agegroup","pop"
"237","Canada","1998","60-69",2354626
"238","Canada","1998","70-79",1741441
"239","Canada","1998","80-89",720066
"240","Canada","1999","0-9",3884475
"241","Canada","1999","10-19",4109463
"242","Canada","1999","20-29",4123252
"243","Canada","1999","30-39",5009666
"244","Canada","1999","40-49",4804212
"245","Canada","1999","50-59",3453149
"246","Canada","1999","60-69",2376223
"247","Canada","1999","70-79",1779608
"248","Canada","1999","80-89",737683
"249","Canada","2000","0-9",3827648
"250","Canada","2000","10-19",4151752
"251","Canada","2000","20-29",4142589
"252","Canada","2000","30-39",4942224
"253","Canada","2000","40-49",4916363
"254","Canada","2000","50-59",3600687
"255","Canada","2000","60-69",2395189
"256","Canada","2000","70-79",1809938
"257","Canada","2000","80-89",770795
"258","Canada","2001","0-9",11116248
"259","Canada","2001","10-19",12408539
"260","Canada","2001","20-29",11890116
"261","Canada","2001","30-39",14118704
"262","Canada","2001","40-49",14859860
"263","Canada","2001","50-59",11106240
"264","Canada","2001","60-69",7245682
"265","Canada","2001","70-79",5484258
"266","Canada","2001","80-89",2402956
"267","Canada","2001","90-100",391362
"268","Canada","2002","0-9",3712046
"269","Canada","2002","10-19",4243010
"270","Canada","2002","20-29",4227960
"271","Canada","2002","30-39",4809830
"272","Canada","2002","40-49",5147842
"273","Canada","2002","50-59",3891457
"274","Canada","2002","60-69",2479528
"275","Canada","2002","70-79",1862198
"276","Canada","2002","80-89",845386
"277","Canada","2002","90-100",137058
"278","Canada","2003","0-9",3652933
"279","Canada","2003","10-19",4269068
"280","Canada","2003","20-29",4276742
"281","Canada","2003","30-39",4705333
"282","Canada","2003","40-49",5250042
"283","Canada","2003","50-59",4027875
"284","Canada","2003","60-69",2550665
"285","Canada","2003","70-79",1882922
"286","Canada","2003","80-89",879821
"287","Canada","2003","90-100",144701
"288","Canada","2004","0-9",3610080
"289","Canada","2004","10-19",4285983
"290","Canada","2004","20-29",4336002
"291","Canada","2004","30-39",4601996
"292","Canada","2004","40-49",5329584
"293","Canada","2004","50-59",4173902
"294","Canada","2004","60-69",2638428
"295","Canada","2004","70-79",1894721
"296","Canada","2004","80-89",914158
"297","Canada","2004","90-100",151741
"298","Canada","2005","0-9",3573027
"299","Canada","2005","10-19",4300689
"300","Canada","2005","20-29",4385417
"301","Canada","2005","30-39",4528442
"302","Canada","2005","40-49",5380651
"303","Canada","2005","50-59",4330084
"304","Canada","2005","60-69",2725693
"305","Canada","2005","70-79",1907172
"306","Canada","2005","80-89",949072
"307","Canada","2005","90-100",159317
"308","Canada","2006","0-9",10551859
"309","Canada","2006","10-19",12748476
"310","Canada","2006","20-29",12568341
"311","Canada","2006","30-39",12951014
"312","Canada","2006","40-49",15850274
"313","Canada","2006","50-59",13354763
"314","Canada","2006","60-69",8487066
"315","Canada","2006","70-79",5790582
"316","Canada","2006","80-89",2967040
"317","Canada","2006","90-100",513846
"318","Canada","2007","0-9",3555409
"319","Canada","2007","10-19",4297994
"320","Canada","2007","20-29",4485958
"321","Canada","2007","30-39",4489311
"322","Canada","2007","40-49",5352903
"323","Canada","2007","50-59",4570047
"324","Canada","2007","60-69",3000663
"325","Canada","2007","70-79",1940672
"326","Canada","2007","80-89",1017790
"327","Canada","2007","90-100",173595
"328","Canada","2008","0-9",3584041
"329","Canada","2008","10-19",4283245
"330","Canada","2008","20-29",4537477
"331","Canada","2008","30-39",4507353
"332","Canada","2008","40-49",5303485
"333","Canada","2008","50-59",4680216
"334","Canada","2008","60-69",3154238
"335","Canada","2008","70-79",1963348
"336","Canada","2008","80-89",1048522
"337","Canada","2008","90-100",180130
"338","Canada","2009","0-9",3623418
"339","Canada","2009","10-19",4252517
"340","Canada","2009","20-29",4607929
"341","Canada","2009","30-39",4533401
"342","Canada","2009","40-49",5250237
"343","Canada","2009","50-59",4797647
"344","Canada","2009","60-69",3299036
"345","Canada","2009","70-79",1994726
"346","Canada","2009","80-89",1076696
"347","Canada","2009","90-100",187932
"348","Canada","2010","0-9",3663074
"349","Canada","2010","10-19",4207975
"350","Canada","2010","20-29",4679355
"351","Canada","2010","30-39",4565539
"352","Canada","2010","40-49",5183234
"353","Canada","2010","50-59",4920452
"354","Canada","2010","60-69",3445571
"355","Canada","2010","70-79",2028079
"356","Canada","2010","80-89",1102976
"357","Canada","2010","90-100",202892
"358","Canada","2011","0-9",11084726
"359","Canada","2011","10-19",12351272
"360","Canada","2011","20-29",13434822
"361","Canada","2011","30-39",13272326
"362","Canada","2011","40-49",15105766
"363","Canada","2011","50-59",15043138
"364","Canada","2011","60-69",10730653
"365","Canada","2011","70-79",6223345
"366","Canada","2011","80-89",3385384
"367","Canada","2011","90-100",643527
"368","Canada","2012","0-9",3764843
"369","Canada","2012","10-19",4093092
"370","Canada","2012","20-29",4773888
"371","Canada","2012","30-39",4660070
"372","Canada","2012","40-49",5039254
"373","Canada","2012","50-59",5158000
"374","Canada","2012","60-69",3714715
"375","Canada","2012","70-79",2119195
"376","Canada","2012","80-89",1151502
"377","Canada","2012","90-100",232999
"378","Canada","2013","0-9",3817384
"379","Canada","2013","10-19",4041541
"380","Canada","2013","20-29",4810010
"381","Canada","2013","30-39",4729116
"382","Canada","2013","40-49",4952264
"383","Canada","2013","50-59",5268984
"384","Canada","2013","60-69",3851723
"385","Canada","2013","70-79",2187466
"386","Canada","2013","80-89",1172151
"387","Canada","2013","90-100",245259
"388","Canada","2014","0-9",3858744
"389","Canada","2014","10-19",4012153
"390","Canada","2014","20-29",4836530
"391","Canada","2014","30-39",4797109
"392","Canada","2014","40-49",4866023
"393","Canada","2014","50-59",5352941
"394","Canada","2014","60-69",3994137
"395","Canada","2014","70-79",2265569
"396","Canada","2014","80-89",1188371
"397","Canada","2014","90-100",258133
"398","Canada","2015","0-9",3898370
"399","Canada","2015","10-19",3988424
"400","Canada","2015","20-29",4825180
"401","Canada","2015","30-39",4831730
"402","Canada","2015","40-49",4795738
"403","Canada","2015","50-59",5398018
"404","Canada","2015","60-69",4146215
"405","Canada","2015","70-79",2340736
"406","Canada","2015","80-89",1202172
"407","Canada","2015","90-100",268414
"408","Canada","2016","0-9",11779864
"409","Canada","2016","10-19",11901253
"410","Canada","2016","20-29",13910662
"411","Canada","2016","30-39",14134205
"412","Canada","2016","40-49",14003481
"413","Canada","2016","50-59",15997029
"414","Canada","2016","60-69",12808326
"415","Canada","2016","70-79",7322918
"416","Canada","2016","80-89",3687596
"417","Canada","2016","90-100",842450
"418","Canada","2017","0-9",3965080
"419","Canada","2017","10-19",4038888
"420","Canada","2017","20-29",4914213
"421","Canada","2017","30-39",4968660
"422","Canada","2017","40-49",4770018
"423","Canada","2017","50-59",5359968
"424","Canada","2017","60-69",4383244
"425","Canada","2017","70-79",2590786
"426","Canada","2017","80-89",1245116
"427","Canada","2017","90-100",295098
"428","Canada","2018","0-9",3981907
"429","Canada","2018","10-19",4097719
"430","Canada","2018","20-29",5011018
"431","Canada","2018","30-39",5064962
"432","Canada","2018","40-49",4784619
"433","Canada","2018","50-59",5304199
"434","Canada","2018","60-69",4491966
"435","Canada","2018","70-79",2735126
"436","Canada","2018","80-89",1269936
"437","Canada","2018","90-100",307436
"438","China","2000","0-9",318261922
"439","China","2000","10-19",456855596
"440","China","2000","20-29",424350878
"441","China","2000","30-39",472923186
"442","China","2000","40-49",333527980
"443","China","2000","50-59",219349150
"444","China","2000","60-69",152968616
"445","China","2000","70-79",83004958
"446","China","2000","80-89",22039712
"447","China","2000","90-100",1906700
"448","China","2010","0-9",292828318
"449","China","2010","10-19",349595152
"450","China","2010","20-29",456852740
"451","China","2010","30-39",430328324
"452","China","2010","40-49",460697034
"453","China","2010","50-59",320131290
"454","China","2010","60-69",199561128
"455","China","2010","70-79",113649060
"456","China","2010","80-89",38010252
"457","China","2010","90-100",3896572
"458","Democratic People's Republic of Korea","2008","0-9",3556824
"459","Democratic People's Republic of Korea","2008","10-19",4073692
"460","Democratic People's Republic of Korea","2008","20-29",3578585
"461","Democratic People's Republic of Korea","2008","30-39",3895201
"462","Democratic People's Republic of Korea","2008","40-49",3575041
"463","Democratic People's Republic of Korea","2008","50-59",2217977
"464","Democratic People's Republic of Korea","2008","60-69",1971567
"465","Democratic People's Republic of Korea","2008","70-79",998094
"466","Democratic People's Republic of Korea","2008","80-89",174909
"467","Democratic People's Republic of Korea","2008","90-100",10277
"468","Egypt","1996","0-9",1121244
"469","Egypt","2006","0-9",30726294
"470","Egypt","2006","10-19",32516646
"471","Egypt","2006","20-29",28529630
"472","Egypt","2006","30-39",18780784
"473","Egypt","2006","40-49",15533762
"474","Egypt","2006","50-59",10653430
"475","Egypt","2006","60-69",5798204
"476","Egypt","2006","70-79",2356580
"477","Egypt","2006","80-89",607928
"478","Egypt","2006","90-100",84362
"479","Egypt","2017","0-9",46832188
"480","Egypt","2017","10-19",36073208
"481","Egypt","2017","20-29",32799102
"482","Egypt","2017","30-39",27661408
"483","Egypt","2017","40-49",19090468
"484","Egypt","2017","50-59",14516934
"485","Egypt","2017","60-69",8739122
"486","Egypt","2017","70-79",2031900
"487","France","1995","0-9",699438
"488","France","1996","0-9",718204
"489","France","1997","0-9",723453
"490","France","1999","0-9",15821579
"491","France","1999","10-19",16121046
"492","France","1999","20-29",16367962
"493","France","1999","30-39",17762474
"494","France","1999","40-49",17339578
"495","France","1999","50-59",13241836
"496","France","1999","60-69",11116510
"497","France","1999","70-79",9013214
"498","France","1999","80-89",3496626
"499","France","1999","90-100",807348
"500","France","2000","0-9",733238
"501","France","2001","0-9",768979
"502","France","2002","0-9",7306464
"503","France","2002","10-19",7676062
"504","France","2002","20-29",7747706.5
"505","France","2002","30-39",8601902.5
"506","France","2002","40-49",8438933.5
"507","France","2002","50-59",7448489
"508","France","2002","60-69",5216883.5
"509","France","2002","70-79",4587087
"510","France","2002","80-89",1999505.5
"511","France","2002","90-100",453416
"512","France","2003","0-9",759313
"513","France","2004","0-9",762843
"514","France","2005","0-9",749418
"515","France","2007","0-9",7631311
"516","France","2007","10-19",7572520
"517","France","2007","20-29",7836734
"518","France","2007","30-39",8421112
"519","France","2007","40-49",8663147
"520","France","2007","50-59",8276926
"521","France","2007","60-69",5502427
"522","France","2007","70-79",4640955
"523","France","2007","80-89",2532690
"524","France","2007","90-100",447669
"525","France","2008","0-9",7655444
"526","France","2008","10-19",7682131
"527","France","2008","20-29",7790290
"528","France","2008","30-39",8341114
"529","France","2008","40-49",8711666
"530","France","2008","50-59",8327709
"531","France","2008","60-69",5816559
"532","France","2008","70-79",4697476
"533","France","2008","80-89",2682991
"534","France","2008","90-100",414982
"535","France","2009","0-9",7698345
"536","France","2009","10-19",7646131
"537","France","2009","20-29",7867776
"538","France","2009","30-39",8249936
"539","France","2009","40-49",8718143
"540","France","2009","50-59",8294710
"541","France","2009","60-69",6092665
"542","France","2009","70-79",4679566
"543","France","2009","80-89",2806478
"544","France","2009","90-100",410341
"545","France","2010","0-9",7743036
"546","France","2010","10-19",7663556
"547","France","2010","20-29",7819919
"548","France","2010","30-39",8194134
"549","France","2010","40-49",8724946
"550","France","2010","50-59",8284613
"551","France","2010","60-69",6344557
"552","France","2010","70-79",4670810
"553","France","2010","80-89",2891845
"554","France","2010","90-100",418073
"555","France","2011","0-9",15515282
"556","France","2011","10-19",15387797.5
"557","France","2011","20-29",15510624
"558","France","2011","30-39",16297626.5
"559","France","2011","40-49",17499489.5
"560","France","2011","50-59",16545204
"561","France","2011","60-69",13426423.5
"562","France","2011","70-79",9180015
"563","France","2011","80-89",5897530.5
"564","France","2011","90-100",1006017.5
"565","France","2012","0-9",15549238.5
"566","France","2012","10-19",15445076.5
"567","France","2012","20-29",15404741.5
"568","France","2012","30-39",16176250.5
"569","France","2012","40-49",17571251
"570","France","2012","50-59",16583724
"571","France","2012","60-69",13972622
"572","France","2012","70-79",9051663.5
"573","France","2012","80-89",5981270.5
"574","France","2012","90-100",1130874.5
"575","France","2013","0-9",7791111
"576","France","2013","10-19",7742714
"577","France","2013","20-29",7661807
"578","France","2013","30-39",8037441
"579","France","2013","40-49",8818021
"580","France","2013","50-59",8296110
"581","France","2013","60-69",7170130
"582","France","2013","70-79",4501402
"583","France","2013","80-89",3020942
"584","France","2013","90-100",608046
"585","France","2014","0-9",7806516
"586","France","2014","10-19",7799891
"587","France","2014","20-29",7621255
"588","France","2014","30-39",7945037
"589","France","2014","40-49",8813198
"590","France","2014","50-59",8349101
"591","France","2014","60-69",7361738
"592","France","2014","70-79",4520161
"593","France","2014","80-89",3046554
"594","France","2014","90-100",644705
"595","France","2015","0-9",23326018.8196331
"596","France","2015","10-19",23578198.5033395
"597","France","2015","20-29",22547306.5147814
"598","France","2015","30-39",23927590.8815857
"599","France","2015","40-49",26080781.0822807
"600","France","2015","50-59",25320215.8311848
"601","France","2015","60-69",22973981.7618377
"602","France","2015","70-79",13845873.3547927
"603","France","2015","80-89",9322569.70662791
"604","France","2015","90-100",2117891.0059356
"605","France","2019","0-9",7486424
"606","France","2019","10-19",7958885
"607","France","2019","20-29",7306158
"608","France","2019","30-39",8035336
"609","France","2019","40-49",8388238
"610","France","2019","50-59",8532078
"611","France","2019","60-69",7803284
"612","France","2019","70-79",5331800
"613","France","2019","80-89",3145816
"614","France","2019","90-100",799033
"615","Germany","1994","0-9",8826809
"616","Germany","1994","10-19",8698975
"617","Germany","1994","20-29",12238667
"618","Germany","1994","30-39",13199436
"619","Germany","1994","40-49",10330415
"620","Germany","1994","50-59",11398516
"621","Germany","1994","60-69",8224409
"622","Germany","1994","70-79",5207953
"623","Germany","1994","80-89",2946139
"624","Germany","1994","90-100",299105
"625","Germany","1995","0-9",8767011
"626","Germany","1995","10-19",8819538
"627","Germany","1995","20-29",11710054
"628","Germany","1995","30-39",13525938
"629","Germany","1995","40-49",10613079
"630","Germany","1995","50-59",11187683
"631","Germany","1995","60-69",8415369
"632","Germany","1995","70-79",5309508
"633","Germany","1995","80-89",2939015
"634","Germany","1995","90-100",316589
"635","Germany","1996","0-9",18125797
"636","Germany","1996","10-19",17975578
"637","Germany","1996","20-29",22184114
"638","Germany","1996","30-39",27734737
"639","Germany","1996","40-49",22186405
"640","Germany","1996","50-59",21549333
"641","Germany","1996","60-69",17355783
"642","Germany","1996","70-79",11182361
"643","Germany","1996","80-89",4530305
"644","Germany","1996","90-100",332669
"645","Germany","1997","0-9",8530229
"646","Germany","1997","10-19",9131188
"647","Germany","1997","20-29",10488523
"648","Germany","1997","30-39",14064775
"649","Germany","1997","40-49",11436366
"650","Germany","1997","50-59",10479298
"651","Germany","1997","60-69",8961505
"652","Germany","1997","70-79",5937210
"653","Germany","1997","80-89",1496778
"654","Germany","1998","0-9",8434106
"655","Germany","1998","10-19",9182965
"656","Germany","1998","20-29",10272128
"657","Germany","1998","30-39",14092614
"658","Germany","1998","40-49",11544001
"659","Germany","1998","50-59",10362379
"660","Germany","1998","60-69",9083920
"661","Germany","1998","70-79",6089459
"662","Germany","1998","80-89",2515768
"663","Germany","1998","90-100",372875
"664","Germany","1999","0-9",8270233
"665","Germany","1999","10-19",9283591
"666","Germany","1999","20-29",9901566
"667","Germany","1999","30-39",14107084
"668","Germany","1999","40-49",11762476
"669","Germany","1999","50-59",10143144
"670","Germany","1999","60-69",9374824
"671","Germany","1999","70-79",6322371
"672","Germany","1999","80-89",2439938
"673","Germany","1999","90-100",389617
"674","Germany","2000","0-9",8107774
"675","Germany","2000","10-19",9350967
"676","Germany","2000","20-29",9665480
"677","Germany","2000","30-39",14004874
"678","Germany","2000","40-49",11984652
"679","Germany","2000","50-59",9943273
"680","Germany","2000","60-69",9701742
"681","Germany","2000","70-79",6420787
"682","Germany","2000","80-89",2496810
"683","Germany","2001","0-9",7963589
"684","Germany","2001","10-19",9360791
"685","Germany","2001","20-29",9540968
"686","Germany","2001","30-39",13802483
"687","Germany","2001","40-49",12242774
"688","Germany","2001","50-59",9794096
"689","Germany","2001","60-69",10026231
"690","Germany","2001","70-79",6443926
"691","Germany","2001","80-89",2626472
"692","Germany","2002","0-9",7860301
"693","Germany","2002","10-19",9314201
"694","Germany","2002","20-29",9513110
"695","Germany","2002","30-39",13496180
"696","Germany","2002","40-49",12524929
"697","Germany","2002","50-59",9793040
"698","Germany","2002","60-69",10239487
"699","Germany","2002","70-79",6437856
"700","Germany","2002","80-89",2738770
"701","Germany","2003","0-9",7759433
"702","Germany","2003","10-19",9237233
"703","Germany","2003","20-29",9551918
"704","Germany","2003","30-39",13043787.5
"705","Germany","2003","40-49",12828160
"706","Germany","2003","50-59",9894226.5
"707","Germany","2003","60-69",10369750
"708","Germany","2003","70-79",6443483
"709","Germany","2003","80-89",2817814
"710","Germany","2004","0-9",7668592
"711","Germany","2004","10-19",9137545
"712","Germany","2004","20-29",9608943
"713","Germany","2004","30-39",12502046
"714","Germany","2004","40-49",13134409
"715","Germany","2004","50-59",10005183
"716","Germany","2004","60-69",10411088
"717","Germany","2004","70-79",6532007
"718","Germany","2004","80-89",2891678
"719","Germany","2004","90-100",465555
